Length of author name,Length of author email,Length of commit message,Number of tokens in commit message
6,16,43,6
17,16,15,2
17,16,13,2
17,16,7,1
6,16,48,8
17,16,50,8
6,16,3,1
6,16,5,1
6,16,35,5
6,16,44,6
6,16,15,3
6,16,13,1
17,16,48,9
17,16,18,2
6,16,16,2
6,16,23,4
6,16,25,5
6,16,21,6
6,16,16,3
6,16,10,2
6,16,67,10
17,16,29,5
6,16,9,3
6,16,8,1
6,16,65,10
17,16,48,8
6,16,22,4
6,16,20,2
17,16,26,4
17,16,26,7
6,16,30,3
6,16,13,2
6,16,8,1
17,16,51,7
17,16,240,40
6,16,50,6
17,16,41,8
17,16,113,20
17,16,53,11
6,16,22,4
6,16,60,10
6,16,27,5
6,16,83,12
6,16,61,10
6,16,51,8
17,16,24,4
6,16,14,2
6,16,33,5
6,16,136,23
6,16,28,6
6,16,45,7
6,16,21,3
6,16,14,3
6,16,19,2
6,16,20,3
6,16,20,2
17,16,53,10
7,26,89,12
6,16,12,2
6,16,8,1
6,16,10,2
6,16,76,12
17,16,42,7
6,16,27,4
6,16,74,12
6,16,62,10
6,16,16,4
6,16,11,2
6,16,51,9
6,16,19,3
7,26,46,5
6,16,5,1
17,16,38,10
6,16,52,8
6,16,14,3
6,16,19,3
14,28,139,15
6,19,45,7
6,28,49,11
14,28,197,31
6,28,46,9
6,14,43,6
6,28,26,4
14,28,159,15
6,14,39,7
15,29,80,14
6,14,46,9
14,28,133,13
6,28,30,6
6,14,52,11
14,28,140,12
6,14,114,19
6,28,36,5
15,36,204,23
14,28,163,20
14,28,161,18
6,28,101,16
6,28,23,4
15,29,131,12
14,28,195,23
15,36,146,16
14,28,203,25
14,35,33,5
6,14,48,7
15,36,211,22
6,28,71,16
6,14,92,15
6,14,64,10
14,35,62,13
6,28,63,12
14,35,137,17
6,17,27,5
6,14,30,6
6,28,65,10
6,28,53,12
14,28,208,32
6,28,60,10
6,28,33,6
6,28,43,8
6,14,45,9
6,14,78,15
14,28,171,20
22,16,14,2
22,16,14,2
22,16,14,2
12,13,14,2
22,16,14,2
12,13,14,2
12,13,14,2
22,16,14,2
12,13,14,2
22,16,14,2
12,13,14,2
12,13,14,2
22,16,14,2
12,13,14,2
22,16,14,2
22,16,14,2
22,16,14,2
22,16,14,2
12,13,14,2
12,13,14,2
22,16,14,2
12,13,14,2
22,16,14,2
22,16,14,2
22,16,14,2
22,16,14,2
22,16,14,2
12,13,14,2
12,13,14,2
12,13,14,2
22,16,14,2
22,16,14,2
22,16,14,2
12,13,14,2
22,16,14,2
12,13,14,2
12,13,14,2
22,16,14,2
22,16,14,2
22,16,14,2
12,13,14,2
22,16,14,2
22,16,14,2
22,16,14,2
22,16,14,2
22,16,14,2
12,13,14,2
22,16,14,2
22,16,14,2
12,13,14,2
22,16,14,2
12,13,14,2
22,16,14,2
22,16,14,2
22,16,14,2
22,16,14,2
22,16,14,2
6,41,46,7
9,16,66,10
11,21,16,3
11,21,679,119
14,26,59,10
11,21,38,7
4,18,31,5
11,21,69,15
11,21,19,3
11,21,43,5
9,16,35,5
18,20,85,12
5,33,115,22
9,19,64,12
5,33,52,12
5,33,371,57
4,34,1403,263
13,16,754,135
13,23,134,20
13,23,88,17
13,23,566,112
13,12,41,5
6,12,22,7
13,23,44,10
10,16,40,11
10,16,36,10
13,21,369,67
13,21,48,6
13,21,48,6
13,12,21,7
13,21,48,6
4,21,30,4
13,21,189,31
13,21,48,6
13,21,55,8
13,21,31,7
13,21,27,4
13,21,16,2
13,21,55,8
13,21,29,3
13,21,45,10
13,21,55,8
13,21,55,9
13,21,48,6
13,21,165,25
13,21,55,8
13,21,38,6
13,21,48,6
13,21,177,26
5,24,125,21
5,24,40,6
5,24,54,10
5,24,108,23
12,24,48,7
12,24,70,12
12,25,35,7
5,24,73,15
10,20,29,5
10,18,25,5
11,22,72,8
15,19,80,16
8,19,54,10
14,24,72,12
3,21,36,6
14,24,63,12
14,24,281,53
14,24,29,5
14,24,26,4
14,24,47,9
14,24,29,8
14,24,44,7
14,24,62,13
